timestamp_ms,direction,msg_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
22600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
22800,TX,0x100,8,0C,01,87,03,6D,0F,09,05
22800,TX,0x101,6,C6,00,1B,01,00,00,CC,CC
22800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
23000,TX,0x100,8,10,01,85,03,69,0F,1F,05
23000,TX,0x101,6,C9,00,20,01,00,00,CC,CC
23000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
23200,TX,0x100,8,13,01,83,03,6D,0F,2A,05
23200,TX,0x101,6,C7,00,21,01,00,00,CC,CC
23200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
23400,TX,0x100,8,16,01,82,03,71,0F,2E,05
23400,TX,0x101,6,C5,00,25,01,00,00,CC,CC
23400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
23600,TX,0x100,8,19,01,80,03,6C,0F,23,05
23600,TX,0x101,6,C6,00,1D,01,00,00,CC,CC
23600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
23800,TX,0x100,8,1C,01,7E,03,69,0F,1D,05
23800,TX,0x101,6,C8,00,25,01,00,00,CC,CC
23800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
24000,TX,0x100,8,26,01,7D,03,6B,0F,51,05
24000,TX,0x101,6,C5,00,2E,01,00,00,CC,CC
24000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
24200,TX,0x100,8,30,01,7B,03,71,0F,86,05
24200,TX,0x101,6,CB,00,2C,01,00,00,CC,CC
24200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
24400,TX,0x100,8,3A,01,79,03,68,0F,97,05
24400,TX,0x101,6,C4,00,2E,01,00,00,CC,CC
24400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
24600,TX,0x100,8,44,01,77,03,62,0F,C3,05
24600,TX,0x101,6,C6,00,34,01,00,00,CC,CC
24600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
24800,TX,0x100,8,4C,01,76,03,69,0F,D4,05
24800,TX,0x101,6,C6,00,39,01,00,00,CC,CC
24800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
25000,TX,0x100,8,55,01,74,03,61,0F,EF,05
25000,TX,0x101,6,C9,00,37,01,00,00,CC,CC
25000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
25200,TX,0x100,8,5D,01,72,03,59,0F,05,06
25200,TX,0x101,6,CA,00,3B,01,00,00,CC,CC
25200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
25400,TX,0x100,8,65,01,70,03,62,0F,17,06
25400,TX,0x101,6,C6,00,3B,01,00,00,CC,CC
25400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
25600,TX,0x100,8,6C,01,6E,03,61,0F,24,06
25600,TX,0x101,6,C5,00,40,01,00,00,CC,CC
25600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
25800,TX,0x100,8,74,01,6C,03,5C,0F,55,06
25800,TX,0x101,6,C6,00,3D,01,00,00,CC,CC
25800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
26000,TX,0x100,8,7A,01,6A,03,66,0F,2E,06
26000,TX,0x101,6,C8,00,45,01,00,00,CC,CC
26000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
26200,TX,0x100,8,80,01,68,03,61,0F,61,06
26200,TX,0x101,6,C6,00,49,01,00,00,CC,CC
26200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
26400,TX,0x100,8,87,01,66,03,66,0F,77,06
26400,TX,0x101,6,C7,00,49,01,00,00,CC,CC
